iter	Logloss
0	0.6169962702
1	0.5536163693
2	0.4970598951
3	0.456949886
4	0.4281711869
5	0.407506338
6	0.3858657207
7	0.3682892782
8	0.3543496175
9	0.3412719805
10	0.3333886026
11	0.3239143574
12	0.3179737556
13	0.3118750204
14	0.307739082
15	0.3029728286
16	0.2981575221
17	0.2924550817
18	0.2892391575
19	0.2851301694
20	0.2827391884
21	0.2799759859
22	0.2778431927
23	0.2756390286
24	0.2735163913
25	0.2719542742
26	0.2709984061
27	0.2690017657
28	0.2679382534
29	0.2659224574
30	0.2635713359
31	0.2617196529
32	0.2606571957
33	0.2603157901
34	0.2584281923
35	0.2560113346
36	0.2544428205
37	0.2529564225
38	0.2513209433
39	0.2500364747
40	0.2487305169
41	0.2475053895
42	0.247076235
43	0.2468138775
44	0.2457634111
45	0.2448600655
46	0.2441582516
47	0.2424290984
48	0.2416740793
49	0.2403938661
