iter	Passed	Remaining
0	13	13226
1	17	8657
2	26	8697
3	30	7642
4	33	6639
5	34	5694
6	36	5128
7	39	4914
8	40	4472
9	41	4123
10	42	3834
11	43	3592
12	45	3486
13	47	3314
14	48	3155
15	49	3014
16	50	2902
17	51	2794
18	52	2717
19	53	2632
20	54	2550
21	56	2530
22	58	2464
23	58	2398
24	59	2337
25	61	2304
26	62	2253
27	64	2228
28	65	2183
29	66	2139
30	67	2100
31	68	2083
32	69	2048
33	70	2013
34	71	1982
35	72	1952
36	74	1929
37	75	1902
38	76	1895
39	77	1870
40	78	1844
41	79	1823
42	80	1800
43	82	1782
44	83	1761
45	84	1755
46	86	1745
47	87	1726
48	88	1710
49	89	1694
