iter	Passed	Remaining
0	1	1141
1	2	989
2	4	949
3	5	897
4	6	854
5	7	830
6	8	816
7	9	804
8	10	789
9	11	777
10	12	766
11	13	759
12	14	758
13	15	749
14	16	742
15	17	744
16	18	750
17	19	751
18	20	750
19	21	745
20	22	736
21	23	730
22	24	723
23	25	721
24	26	715
25	27	708
26	28	702
27	29	699
28	30	698
29	31	695
30	32	691
31	33	690
32	34	691
33	35	690
34	36	690
35	37	688
36	38	687
37	39	684
38	40	681
39	41	679
40	42	676
41	43	673
42	43	671
43	44	669
44	45	667
45	46	666
46	47	663
47	48	660
48	49	661
49	50	660
50	51	660
51	52	659
52	54	659
53	55	658
54	55	655
55	56	653
56	57	652
57	58	650
58	59	648
59	60	648
60	61	645
61	62	643
62	63	642
63	64	640
64	65	638
65	66	638
66	67	637
67	68	638
68	69	637
69	70	636
70	71	636
71	72	636
72	73	634
73	74	633
74	75	632
75	76	631
76	77	630
77	78	629
78	79	627
79	80	625
80	81	624
81	82	623
82	83	622
83	84	621
84	85	619
85	86	617
86	87	617
87	88	616
88	89	616
89	90	614
90	91	612
91	92	611
92	93	610
93	94	608
94	95	607
95	96	605
96	97	604
97	98	602
98	99	603
99	100	602
100	101	600
101	102	599
102	103	597
103	103	595
104	104	594
105	105	593
106	106	592
107	107	590
108	108	589
109	109	587
110	110	587
111	111	586
112	112	585
113	113	584
114	114	583
115	115	582
116	116	582
117	117	580
118	118	578
119	119	578
120	120	576
121	121	575
122	122	574
123	123	573
124	124	572
125	125	571
126	126	569
127	127	568
128	128	567
129	129	566
130	130	565
131	131	563
132	131	562
133	132	561
134	133	560
135	134	559
136	135	557
137	136	556
138	137	555
139	138	553
140	139	552
141	140	551
142	141	550
143	142	549
144	143	548
145	144	547
146	145	546
147	146	544
148	146	543
149	148	543
150	149	542
151	150	541
152	151	540
153	152	539
154	153	538
155	154	537
156	155	536
157	155	535
158	157	534
159	157	532
160	158	531
161	159	530
162	160	529
163	161	528
164	162	527
165	163	526
166	164	525
167	165	523
168	166	522
169	167	521
170	168	519
171	168	518
172	169	517
173	170	516
174	171	515
175	173	515
176	173	514
177	174	513
178	175	512
179	176	510
180	177	509
181	178	508
182	179	507
183	180	506
184	181	505
185	182	504
186	183	503
187	184	501
188	185	500
189	185	499
190	187	498
191	188	497
192	188	496
193	189	495
194	190	494
195	191	493
196	192	492
197	193	491
198	194	489
199	195	488
200	196	487
201	197	486
202	198	487
203	199	486
204	200	485
205	201	484
206	202	483
207	203	482
208	204	481
209	205	479
210	206	478
211	207	477
212	208	476
213	209	475
214	210	474
215	211	473
216	211	471
217	213	471
218	214	470
219	214	468
220	215	467
221	216	466
222	217	465
223	218	464
224	219	463
225	220	462
226	221	461
227	222	460
228	223	459
229	224	458
230	225	457
231	225	455
232	226	454
233	227	453
234	228	452
235	229	451
236	230	450
237	231	449
238	232	448
239	233	447
240	234	446
241	235	445
242	236	444
243	237	443
244	238	442
245	239	441
246	240	440
247	241	440
248	242	439
249	243	438
250	244	437
251	245	436
252	246	435
253	247	434
254	248	433
255	249	432
256	250	431
257	251	430
258	252	429
259	253	428
260	254	427
261	255	426
262	256	425
263	257	424
264	258	423
265	259	422
266	260	421
267	261	420
268	262	419
269	263	419
270	264	418
271	265	418
272	266	417
273	267	416
274	268	415
275	269	414
276	270	413
277	271	412
278	272	411
279	273	410
280	274	409
281	275	408
282	276	407
283	277	406
284	278	405
285	279	404
286	280	403
287	281	402
288	282	402
289	283	401
290	284	400
291	285	399
292	286	398
293	287	397
294	288	396
295	289	395
296	291	395
297	292	394
298	293	393
299	294	392
300	295	391
301	296	390
302	297	389
303	298	388
304	299	388
305	300	387
306	301	386
307	302	385
308	303	384
309	304	383
310	305	382
311	306	380
312	307	379
313	308	378
314	309	377
315	310	377
316	311	376
317	312	375
318	313	374
319	314	373
320	315	372
321	316	371
322	317	370
323	318	369
324	319	368
325	320	367
326	321	366
327	322	366
328	323	365
329	324	364
330	325	362
331	326	362
332	327	360
333	328	360
334	329	359
335	330	358
336	332	357
337	333	356
338	334	356
339	335	355
340	336	354
341	337	353
342	338	352
343	340	352
344	341	351
345	343	351
346	344	350
347	345	349
348	346	348
349	360	360
350	377	375
351	378	374
352	380	373
353	381	372
354	382	372
355	389	376
356	390	375
357	391	374
358	392	372
359	393	372
360	395	371
361	396	369
362	397	368
363	398	368
364	399	367
365	401	365
366	402	364
367	403	363
368	404	362
369	405	361
370	407	361
371	408	360
372	410	359
373	411	358
374	412	357
375	413	356
376	414	355
377	416	354
378	417	353
379	418	352
380	419	351
381	420	350
382	422	349
383	423	348
384	424	347
385	426	346
386	427	345
387	429	345
388	430	344
389	432	343
390	433	342
391	434	341
392	435	340
393	436	338
394	437	337
395	438	336
396	439	335
397	440	334
398	441	333
399	442	331
400	444	331
401	446	330
402	447	329
